"geogcode","ScotPcon2014","SNP","Con","Lab","LibDem","Green","Other","DNV"
"S16000074","Aberdeen Central",0.16854347172493,0.104681990871074,0.071254817284828,0.0211687211304562,0.0426517615546506,0.0245852351928281,0.567114002241233
"S16000075","Aberdeen Donside",0.244517081400253,0.133292161233958,0.0795776345122613,0.0260288003856119,0.0265710670603121,0.031541844911731,0.458471410495873
"S16000076","Aberdeen South and North Kincardine",0.213392022671772,0.205297114775845,0.0718441918658989,0.0352437516958606,0.0338116916397841,0.029621031686213,0.410790195664627
"S16000077","Aberdeenshire East",0.225328000484804,0.228948883434839,0.0468442262824592,0.0455564645638275,0.0352392206769082,0.0403296669999697,0.377753537557192
"S16000078","Aberdeenshire West",0.216895791453213,0.286946371830621,0.0463004993191103,0.0547143505609234,0.0416477530640036,0.0306076129952662,0.322887620776863
"S16000079","Airdrie and Shotts",0.247602335117103,0.113419973590938,0.13836958787963,0.00860031968865105,0.0236639099311974,0.0235422892487317,0.444801584543749
"S16000080","Almond Valley",0.26725733745955,0.111082849350686,0.119745078920966,0.0173668517811974,0.0433959331326748,0.0329673435358288,0.408184605819096
"S16000081","Angus North and Mearns",0.245659053973142,0.213001454109999,0.0498160978530494,0.0274228038662219,0.0367975365665897,0.0326918142160636,0.394611239414935
"S16000082","Angus South",0.270889686716176,0.205478778340629,0.061017393727766,0.0255250086066985,0.0371317562582993,0.0345579435728455,0.365399432777587
"S16000083","Argyll and Bute",0.275170556199988,0.168354206397578,0.0556199988203606,0.0719383441794625,0.0523170084344219,0.0383382812653599,0.338261604702829
"S16000084","Ayr",0.264564328405159,0.24756212645486,0.0942749292230261,0.013777917584146,0.0323529411764706,0.0315665303554577,0.315901226800881
"S16000085","Banffshire and Buchan Coast",0.208910090556274,0.21232212160414,0.0359799482535576,0.0149256144890039,0.0188712807244502,0.03127425614489,0.477716688227684
"S16000086","Caithness, Sutherland and Ross",0.242843462498717,0.135179041690892,0.046940729847122,0.133691302712131,0.0350901193611273,0.0377919901501419,0.368463353739868
"S16000087","Carrick, Cumnock and Doon Valley",0.220575910435016,0.170970445452964,0.113205458656842,0.0102152152943595,0.0189756321257452,0.0300605638925347,0.435996774142539
"S16000088","Clackmannanshire and Dunblane",0.230176192068717,0.163360498477461,0.114797669547463,0.0207522926090859,0.0581909070107194,0.0288314294263637,0.38389101086019
"S16000089","Clydebank and Milngavie",0.263230276443145,0.115277487640136,0.154341619664369,0.0377585126383957,0.0569075969639997,0.0290195668825291,0.343464939767426
"S16000090","Clydesdale",0.247144425689517,0.2000622736435,0.135084642991757,0.0187476442536176,0.0370036544796054,0.0309729437406794,0.330984415201324
"S16000091","Coatbridge and Chryston",0.305136205045625,0.0762546967257112,0.14633655394525,0.0089573268921095,0.0356447933440687,0.0286668008588298,0.399003623188406
"S16000092","Cowdenbeath",0.253899873790492,0.0989650820361801,0.139806478754733,0.0206815313420278,0.0372233908287758,0.0258140513251998,0.423609591922592
"S16000093","Cumbernauld and Kilsyth",0.315071874821975,0.0888513321053531,0.147870340479672,0.0109188963369476,0.0429160099504377,0.0313894532956078,0.362982093010007
"S16000094","Cunninghame North",0.26611437000446,0.16833041748139,0.109979074474289,0.0142019141710404,0.0424856780213372,0.0381119001063428,0.360776645741141
"S16000095","Cunninghame South",0.259061078380192,0.123424565590275,0.118427921545231,0.0107949884405996,0.0231933775822209,0.0273883212767544,0.437709747184727
"S16000096","Dumbarton",0.243635223654033,0.133977923342188,0.168643886019767,0.0162687478344086,0.0403253749566882,0.0333459831372614,0.363802861055654
"S16000097","Dumfriesshire",0.223240349042319,0.274129345467601,0.0754593278281638,0.0161408657373441,0.0214795273255179,0.0285665225332105,0.360984062065843
"S16000098","Dundee City East",0.277673387165033,0.0964738543835593,0.0880436070624482,0.0180623973727422,0.0383762463392751,0.0316726761803193,0.449697831496623
"S16000099","Dundee City West",0.254332623897841,0.0577835208269991,0.0880358771663119,0.013727576771055,0.0435086652477957,0.0306780176345394,0.511933718455458
"S16000100","Dunfermline",0.260622119093161,0.123608541594807,0.132764729861089,0.04634536389577,0.0538082844689724,0.0269668558527484,0.355884105233451
"S16000101","East Kilbride",0.285245238391635,0.110901904643346,0.149772812149882,0.0145026764596041,0.0451730362255695,0.0308415286941367,0.363562803435827
"S16000102","East Lothian",0.233452836441418,0.178712379116079,0.168815714156599,0.024267164763655,0.0572560479619197,0.0284849215195975,0.309010936040731
"S16000103","Eastwood",0.220177799815825,0.272171849543104,0.149624566125947,0.0220124672380817,0.062407026988737,0.0322660621945172,0.241340228093788
"S16000104","Edinburgh Central",0.142165297355197,0.11128456989186,0.0782387729753752,0.0350399398338594,0.0866483585355014,0.0226648586437549,0.523958202764452
"S16000105","Edinburgh Eastern",0.232007345593994,0.0923465391990062,0.122944178886818,0.0213751384050339,0.084960436414702,0.0326770909287315,0.413689270571714
"S16000106","Edinburgh Northern and Leith",0.219500706547339,0.076005169269418,0.105390291918789,0.0262932231844149,0.111634479510127,0.0278029397200382,0.433373189849874
"S16000107","Edinburgh Pentlands",0.202734307554663,0.170305608312797,0.10835203817357,0.0337471942739644,0.0581079596289378,0.0282848577124111,0.398468034343656
"S16000108","Edinburgh Southern",0.156989461125472,0.132900605062069,0.158054711246201,0.0479078487628895,0.122219697184899,0.0271425730761583,0.354785103542312
"S16000109","Edinburgh Western",0.206800045926861,0.134192548366726,0.0737700212411734,0.171120615419944,0.058858143406625,0.0273551868649176,0.327903438773753
"S16000110","Na h-Eileanan an Iar",0.28032031494654,0.115912852860914,0.138460161946942,0.0144946986981613,0.0380262157204849,0.0629893079228739,0.349796447904084
"S16000111","Ettrick, Roxburgh and Berwickshire",0.19023338940286,0.29918348752453,0.0427179702831511,0.0425077095598542,0.0291736753574432,0.0277368937482478,0.368446874123914
"S16000112","Falkirk East",0.247086597597101,0.132324857525224,0.12805437348691,0.0137136670526142,0.0350811241598123,0.0287505826804806,0.414988797497857
"S16000113","Falkirk West",0.272709407265196,0.122855285634382,0.118395791446841,0.014633187706913,0.0423576363169113,0.0297652340856525,0.399283457544104
"S16000114","Galloway and West Dumfries",0.223779540436667,0.255294791070406,0.0569629569057159,0.0161092485076458,0.0258892795813231,0.0297162482623273,0.392247935235915
"S16000115","Glasgow Anniesland",0.225056652638394,0.0747491097442538,0.132194885076076,0.01461638070573,0.05974425380382,0.0328423438005827,0.460796374231143
"S16000116","Glasgow Cathcart",0.248863600241584,0.0765281795352681,0.141867192218443,0.0125719190056899,0.0970946311071553,0.0318986617502146,0.391175816141645
"S16000117","Glasgow Kelvin",0.161758686556303,0.0444560669456067,0.0827610514826269,0.0119269601600873,0.08604693469165,0.02354693469165,0.589503365472076
"S16000118","Glasgow Maryhill and Springburn",0.209089464484348,0.0474177657714921,0.106817098363261,0.00799300810424281,0.0452407436834578,0.0273160654695694,0.556125854123629
"S16000119","Glasgow Pollok",0.250407288963978,0.0578048633319254,0.134239425571713,0.00686357328184396,0.0297924334761359,0.0311802329089483,0.489712182465456
"S16000121","Glasgow Shettleston",0.215523781733294,0.0703384884738839,0.115611321855851,0.00631747884447038,0.0358476801867523,0.0263349868689816,0.530026262036767
"S16000122","Glasgow Southside",0.225596565106102,0.0479068615308397,0.127636033358104,0.00949549995871522,0.100123854347288,0.0321525885558583,0.457088597143093
"S16000123","Greenock and Inverclyde",0.292652945964353,0.0865600239198684,0.142339828242056,0.0160296340592349,0.0380558462484012,0.0298001694324015,0.394561552133685
"S16000124","Hamilton, Larkhall and Stonehouse",0.243061889250814,0.129071661237785,0.149625407166124,0.0131758957654723,0.0308957654723127,0.0269055374592834,0.407263843648208
"S16000125","Inverness and Nairn",0.263371063784132,0.161539080521431,0.0685049085349498,0.0378198594496003,0.0454911217209377,0.0370017702912934,0.386272195697656
"S16000126","Kilmarnock and Irvine Valley",0.271823574853878,0.127989855262583,0.119506755870392,0.0126517702275278,0.0293993324296355,0.0321541533662746,0.406474557989709
"S16000127","Kirkcaldy",0.244837299055385,0.0955041317169579,0.126752672777354,0.0159821970463281,0.0387183118318057,0.0279805163479046,0.450224871224264
"S16000128","Linlithgow",0.240797388309084,0.135674258392885,0.130263225541103,0.0199347077271091,0.0458331191198396,0.0318492622487276,0.395648038661251
"S16000129","Mid Fife and Glenrothes",0.278012222241678,0.0990036596683535,0.110770631599223,0.0274912885884887,0.0312910399411651,0.0263180934703812,0.427113064490711
"S16000130","Midlothian North and Musselburgh",0.249384323605175,0.10930732867212,0.144535341240411,0.0194185750275993,0.0537832252951001,0.0290995555807173,0.394471650578877
"S16000131","Midlothian South, Tweeddale and Lauderdale",0.273225378123045,0.184353108163795,0.0866745013049251,0.0432227835350498,0.045893682941347,0.0248775201843684,0.34175302574747
"S16000132","Moray",0.247864779310757,0.237263333930598,0.0478856835692528,0.0169175177686197,0.0377919130382847,0.026891835393896,0.385384936988592
"S16000133","Motherwell and Wishaw",0.250659757209347,0.0945412088351487,0.134814388305104,0.0083169393663132,0.0312045167378405,0.0267421588855301,0.453721030660717
"S16000134","North East Fife",0.191056288451532,0.124085580484221,0.0371124238621407,0.17944048238499,0.0622570475345107,0.0224511034250559,0.383597073857549
"S16000135","Orkney Islands",0.180009574977392,0.117133890100537,0.0385658811638917,0.192350656949838,0.0587265280068089,0.0295228469599447,0.383690621841587
"S16000136","Paisley",0.2638183154971,0.0806143288946981,0.143730087411159,0.0147863736622825,0.0419900334939956,0.0286904664651581,0.426370394575607
"S16000137","Perthshire North",0.260040404040404,0.237090909090909,0.0458666666666667,0.0279272727272727,0.052379797979798,0.0257292929292929,0.350965656565657
"S16000138","Perthshire South and Kinross-shire",0.24444174092886,0.248137108792847,0.0543660086985614,0.0409683992822166,0.0580005474619058,0.0212141488488093,0.3328720459868
"S16000139","Renfrewshire North and West",0.271158601519773,0.169557605183835,0.156381423388625,0.018103712795336,0.0453585545909066,0.0320379762828728,0.307402126238651
"S16000140","Renfrewshire South",0.265558344890543,0.111317873005284,0.146428383336552,0.0139213173463476,0.0426066042869933,0.0317750118497972,0.388392465284483
"S16000141","Rutherglen",0.265887440461268,0.0924887189771873,0.172427300075207,0.0158404361995488,0.0451710955126598,0.0371020305841063,0.371082978190023
"S16000142","Shetland Islands",0.219585204190721,0.0996899722044045,0.0536134274107334,0.168751336326705,0.0616848407098567,0.0287577506948899,0.36791746846269
"S16000143","Skye, Lochaber and Badenoch",0.285240152796042,0.15213851837936,0.0626369841568038,0.0664412298828981,0.0623864988415054,0.0501596843885027,0.320996931554888
"S16000144","Stirling",0.244707743366263,0.185744637955367,0.0933453265302957,0.0214171616445154,0.0667793613622618,0.0242552069601898,0.363750562181108
"S16000146","Uddingston and Bellshill",0.260861040764643,0.102164855812434,0.156180050649457,0.0096724123846091,0.0307001062004738,0.0297524712033331,0.41066906298505
"S16000147","Glasgow Provan",0.233283456466847,0.0505470868792668,0.115916955017301,0.00559556095888276,0.039293618878394,0.0265906044452757,0.528772717354032
"S16000148","Strathkelvin and Bearsden",0.257860301690192,0.154858544859756,0.13788089901254,0.0620797237535591,0.0586569334221845,0.0312594656812261,0.297404131580542
